date,spend,revenue,impressions,reach,frequency,cpm,clicks,cpc,ctr,lp_views,checkouts,purchases,roas,cpp,lp_view_rate,checkout_rate,close_rate,profit,margin
2026-01-06,19873.42,10552.0,1712434,465863,3.68,11.61,34505,0.58,2.01,12794.0,351.0,268.0,0.53,74.15,37.08,2.74,76.35,-9321.42,-88.34
2026-01-06,19873.61,10552.0,1712465,465863,3.68,11.61,34506,0.58,2.01,12794.0,351.0,268.0,0.53,74.16,37.08,2.74,76.35,-9321.61,-88.34
2026-01-06,19873.74,10552.0,1712476,465863,3.68,11.61,34506,0.58,2.01,12794.0,351.0,268.0,0.53,74.16,37.08,2.74,76.35,-9321.74,-88.34
2026-01-06,19873.88,10552.0,1712486,465863,3.68,11.61,34506,0.58,2.01,12794.0,351.0,268.0,0.53,74.16,37.08,2.74,76.35,-9321.88,-88.34
2026-01-06,19874.32,10552.0,1712501,465863,3.68,11.61,34508,0.58,2.02,12794.0,351.0,268.0,0.53,74.16,37.08,2.74,76.35,-9322.32,-88.35
2026-01-07,26521.75,10685.76,2037514,686886,2.97,13.02,43595,0.61,2.14,12009.0,405.0,266.0,0.4,99.71,27.55,3.37,65.68,-15835.99,-148.2
2026-01-07,26526.99,10685.76,2037805,686886,2.97,13.02,43601,0.61,2.14,12009.0,405.0,266.0,0.4,99.73,27.54,3.37,65.68,-15841.23,-148.25
2026-01-07,26529.74,10685.76,2038001,686886,2.97,13.02,43602,0.61,2.14,12009.0,405.0,266.0,0.4,99.74,27.54,3.37,65.68,-15843.98,-148.27
2026-01-07,26533.21,10685.76,2038194,686886,2.97,13.02,43609,0.61,2.14,12009.0,405.0,266.0,0.4,99.75,27.54,3.37,65.68,-15847.45,-148.3
2026-01-07,26541.27,10685.76,2038426,686886,2.97,13.02,43616,0.61,2.14,12009.0,405.0,266.0,0.4,99.78,27.53,3.37,65.68,-15855.51,-148.38
2026-01-07,26543.79,10685.76,2038567,687487,2.97,13.02,43617,0.61,2.14,12009.0,405.0,266.0,0.4,99.79,27.53,3.37,65.68,-15858.03,-148.4
2026-01-07,26546.74,10685.76,2038622,687716,2.96,13.02,43619,0.61,2.14,12009.0,405.0,266.0,0.4,99.8,27.53,3.37,65.68,-15860.98,-148.43
2026-01-08,40341.23,14018.48,2651294,917547,2.89,15.22,57662,0.7,2.17,10935.0,473.0,304.0,0.35,132.7,18.96,4.33,64.27,-26322.75,-187.77
2026-01-08,40347.67,14018.48,2651567,917547,2.89,15.22,57668,0.7,2.17,10935.0,473.0,304.0,0.35,132.72,18.96,4.33,64.27,-26329.19,-187.82
2026-01-08,40353.93,14018.48,2651755,917547,2.89,15.22,57673,0.7,2.17,10935.0,473.0,304.0,0.35,132.74,18.96,4.33,64.27,-26335.45,-187.86
2026-01-08,40358.08,14018.48,2651956,917547,2.89,15.22,57680,0.7,2.17,10935.0,473.0,304.0,0.35,132.76,18.96,4.33,64.27,-26339.6,-187.89
2026-01-08,40364.29,14018.48,2652204,917547,2.89,15.22,57687,0.7,2.18,10935.0,473.0,304.0,0.35,132.78,18.96,4.33,64.27,-26345.81,-187.94
2026-01-08,40365.38,14018.48,2652254,917547,2.89,15.22,57689,0.7,2.18,10935.0,473.0,304.0,0.35,132.78,18.96,4.33,64.27,-26346.9,-187.94
